1  5	17	2	1	14	20	14	10	18	4	9	11	6	13	11	1	4	15	13	9	12	13	13		10	16	12	17	7	6	3	19	9	3	1	9	10	3	19	15	5	9	19	2	3	8	17	10	15	1	6	4	13	3	1	3	5	5	4	9
16 9	0	0	0	0	0	13	0	0	9	0	0	0	0	6	0	0	0	0	0	0	8	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
9  27	0	0	0	0	0	1	0	0	6	0	0	0	0	16	0	0	0	0	0	0	17	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	10	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
15 13	0	0	0	0	0	13	0	0	5	0	0	0	0	8	0	0	0	7	11	14	15	0	0	12	12	15	0	0	15	0	0	0	0	0	0	0	0	0	11	0	0	6	0	0	1	2	17	22	12	18	2	28	0	0	4	0	0	13	0
13 10	0	0	17	0	0	20	0	0	17	15	5	17	0	18	0	0	0	4	0	0	0	0	0	0	0	25	0	0	11	15	19	10	1	8	0	0	0	0	18	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	14	0	0	5	0
22 28	0	0	13	0	0	8	0	0	0	0	0	15	0	6	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	20	0	0	5	0	0	0	0	0	0	0	0	0	9	0	0	12	0
21 14	0	0	18	0	0	8	0	0	0	0	0	11	0	9	0	0	0	7	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	19	0	0	8	9	0	0	12	8	9	6	7	25	22	6	26	9	0
15 10	0	0	8	0	0	15	0	0	0	0	0	16	0	12	0	3	19	17	3	19	20	13	6	0	0	17	5	13	20	1	28	0	0	2	0	0	0	0	5	0	0	10	0	0	0	5	0	0	24	0	0	0	13	0	0	0	0	0	0
8  15	0	0	7	0	0	15	0	0	0	0	0	11	0	13	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	18	0	0	0	0	12	0	0	3	0	0	0	26	0	0	19	0	0	0	17	0	0	0	0	0	0
5  25	0	0	14	0	0	11	0	0	0	3	15	14	0	18	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	8	0	0	9	14	25	0	0	17	0	0	0	17	0	0	18	0	0	0	8	0	0	0	0	0	0
