8  16	7	19	14	10	3	5	16	14	4	6	7	15	18	7	9	20	8	2	3	9	19	8		1	14	7	17	6	6	12	14	9	5	7	11	5	9	5	14	11	20	3	14	12	15	5	17	4	1	16	5	6	9	10	2	19	5	18	5   
10 1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0   
7  4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0  
5  8	0	0	0	2	0	0	0	11	0	0	0	2	13	25	15	4	26	25	17	28	0	0	0	20	12	20	10	10	23	20	11	24	8	6	24	5	21	13	21	16	0	0	0	27	0	0	0	16	0	0	0	15	0	0	0	19	0	0	0   
13 27	0	0	0	25	0	0	0	19	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	28	0	0	0	1	0	0	0	3	0	0	0	22	0	0	0   
4  13	0	0	0	21	0	0	0	13	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	4	0	0	0	6	0	0	0   
16 24	0	0	0	23	16	8	17	1	0	0	0	10	0	0	0	2	28	19	20	13	9	24	24	11	11	11	24	11	21	26	19	3	0	0	0	1	0	0	0	28	27	20	23	17	0	0	0	19	0	0	0	21	3	21	26	10	0	0	0   
13 9	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0   
11 15	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0   
16 19	7	2	7	10	23	28	28	26	0	0	0	17	5	10	13	16	11	11	22	18	9	4	5	1	3	3	8	11	0	0	0	4	0	0	0	11	4	5	14	3	11	4	16	27	0	0	0	1	0	0	0	20	25	20	12	23	26	9	25  
1  4	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0   
19 17	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0   
9  6	0	0	0	3	1	23	10	22	23	22	2	9	13	18	23	3	7	8	5	21	5	26	14	10	0	0	0	5	0	0	0	16	20	13	25	12	13	13	4	8	0	0	0	12	0	0	0	13	3	9	7	8	8	25	5	21	0	0	0   
2  5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0   
13 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0   
5  19	6	10	28	6	2	28	19	20	7	15	8	18	3	12	6	3	5	21	7	14	0	0	0	7	0	0	0	12	3	25	18	2	28	1	2	9	0	0	0	11	0	0	0	16	5	2	19	2	9	28	11	5	0	0	0	9	0	0	0   
29 17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	18	0	0	0	14	0	0	0	0	0	0	0	10	0	0	0	22	0	0	0   
